약어,원어,설명,참고자료
ATM & KEY LOCK C/U,AUTOMATIC TRANSMISSION LOCK CONTROL UNIT,자동 변속 장치 및 키이 잠금 제어 장치.,-
ATM ILL,AUTOMATIC TRANSMISSION ILLUMINATION,야간 주행시 조명등이 점등되어 변속기 레버 위치를 표시하는 등.,-
ATM INTERLOCK,AUTO TRANSMISSION INTERLOCK,자동 변속 연동 장치.,-
ATM SHIFT,AUTOMATIC TRANSMISSION SHIFT,자동 변속 이동기.,-
ATM SHIFT ILL,AUTOMATIC TRANSMISSION SHIFT ILLUMINATION,자동 변속 이동기 조명.,-
ATM SOL,AUTOMATIC TRANSMISSION SOLENOID,자동 변속 솔레노이드.ELC UNIT의 지시를 받아서 유체의 흐름 방향과 압력을 조절하여 유체의 힘으로 변속시키는 장치.,-
ATP,Available to Promise,약속가능수량. 총괄생산계획 중 주생산일정에 관련된 것으로 영업부서에서 고객에게 특정한 기간내에 최종생산품을 몇개나 납품할 수 있는지 납품가능수량을 약속하는 것,-
ATS,AIR TEMPERATURE SENSOR,공기 온도 감지기. AFS에 내장되어 흡입 공기의 온도를 검출하는 장치. 흡입 공기와 부저항 특성을 지닌 THERMISTER로서 저항의 변화를 이용하여 출력 전압을 감지하여 ECU에서 연료 분사량을 보정한다.,-
ATS,Armrest Touch Screen,팔걸이 터치 스크린.,-
ATT,ACTIVE TORQUE TRANSFER,풀타임 4WD의 일종으로 도로여건 및 주행조건에 따라 자체 센서 및 ECU에 의해 2WD ↔ 4WD 변환이 전자제어되는 시스템 항시 사륜에 비해 연비 및 소음 우수하며 50:50 ~ 100:0 까지 세밀한 구동력 배분이 가능함,-
ATV,ALL TERRAIN VEHICLE,야지 주행 차량,-
AUDIO RSE,AUDIO REAR SEAT ENTERTAINMENT,뒷자석의 멀티미디어 관련 유닛,-
AUTO ANTENNA,AUTO ANTENNA,AUDIO 동작에 따른 자동 접이식 안테나.,-
AUTO GREASE,-,마모가 심한 부분에 자동으로 그리스를 발라주는 장치.,-
AUTO LIGHT SYSTEM,-,"조도 SENSOR를 이용 주위변화에 따라 운전자의 점등조작없이 LAMP 점멸(TUNNEL 통과, 우천시등)",-
AUTO PC,AUTOMOBILE COMPUTER(자동차용 컴퓨터),"차량의 전장품을 통합하고 음성인식에 의해 전장품 제어를 가능케하며, 동시에 차내 무선통신 이용 환경을 제공하는 차량용 컴퓨터",-
AUTO_HLLD_SNSR,AUTO HEAD LAMP LEVELING DEVICE SENSOR,"전조등 높이(상,하) 조절 장치. 야간 주행시 운전자의 핸들 조작시 전조등 방향이 연동되게 하는 장치로서 운전을 용이하게 하는 기능.",-
AUTONOMOUS INTELLIGENT VEHICLE(자율 주행 차량),-,CCD CAMERA와 레이다로부터 입력되는 전방 차량들의 정보와 검출된 차선을 종합하여 자차선 내의 전방 차량과의 차간거리 유지 및 자동 핸들 제어로 자율 주행을 하는 차량.,-
AUX,AUXILIARY,AV SYSTEM의 외부 입출력 기능,-
AV,AUDIOVISUAL,시청각의.,-
AV HEAD KEY,AUDIOVISUAL HEAD KEYCONSOL CONN,오디오 비쥬얼 시스템의 가장 중요기능 즉 컨트롤을 하는 CONN,-
AV HEAD UNIT,AUDIOVISUAL HEAD UNIT,오디오 비쥬얼 시스템의 가장 중요기능 즉 컨트롤을 하는 CONN,-
AVB,Audio Video Bridging,"오디오 비디오 브릿징. 고품질 오디오, 비디오 데이터를 이더넷 (Ethernet) 망을이용하여 실시간 전송할 수 있는 기술.",-
AVC,Auto Volume Control,차량 속도에 따라 음량이 자동 조절하는 기능.,-
AVH,AUTO VEHICLE HOLDING,"EPB 또는 ABS(ESP) UNIT를 이용하여 일정시간 이상 정차시 운전자가 브레이크 페달을 밟지 않아도 차량 제동(주차)상태를 유지시켜주는 시스템, 별도 조작 없이 악셀 페달 작동으로 해제되며 신호대기시 편의성 향상, 오르막 정차후 출발시 밀림 방지 역할수행",-
AVICS,ADVANCED VEHICLE INFORMATION&COMMUNICATION SYSTEM(,"무선통신(PCS, CELLULAR)을 이용하여,센터에서 차량측으로 인터넷 방식 정보 전송 및 NAVI 목적지 선정등을 수행하는 차량용 정보 시스템",-
AVMS,AROUND VIEW MONITOR SYSTEM,"차량의 전,후,좌,우 총4개의 카메라가 장착되어 차량 주변 상황을 차량 내부의 모니터를 통해 보여주는 장치",-
AVNT,Audio Video Navigation Telematics,오디오+비디오+내비게이션+텔레매틱스,-
AVPS,Automated Valet Parking System,충전을 마친 차량이 주차장 내 빈 공간을 파악하고 스스로 주차 위치로 이동해 주차하거나 약속된 위치로 출차하는 시스템.,-
AVR,-,동력계의 VELOCITY CONTROL MODE,-
AWD,All Wheel Drive (4 Four Wheel Drive),자동차의 4개 바퀴에 항상 구동력이 전달되는 4WD. 노면이나 주행상황에 따라 바퀴에 배분되는 비율이 최적의 상황에 맞도록 제어,-
AWG,American Wire Gauge,"미국전선규격. 미국이나 그 밖의 지역에서 구리, 알루미늄 및 기타 전선의 굵기를 나타내는 단위.",-
AYC,ACTIVE YAW CONTROL,ACTIVE SAFETY의 기술로 4개의 바퀴를 조절해 충돌을 방지하는 기술.,-
B CHASSIS,BARE CHASSIS,CHASSIS FRAME ASSY 에 운행만 가능하도록 간이 MODULE을 설치한 상태,-
B/ALARM UNIT,BURGLAR ALARM UNIT,도난 경보 장치.,-
B/CABLE,BAND CABLE,밴드 케이블.,-
B/DR LOCK ACTR,BACK DOOR LOCK ACTUATOR,후면부 문 잠금 작동장치.,-
B/G,BELGIAN,요철로 주행 내구,-
B/M,BENCH MARKING,선진 MAKER의 장단점을 분석하여 개발에 반영시키는 행위.,-
B/O LAMP,BLACK OUT LAMP,군용차에 적용되는 것으로 B.O LAMP를 제외한 모든 등을 끔.(등화관제등),-
B/OUT,BALANCE OUT,1. 개발되어 생산하고 있는 차종의 폐지.(폐차) 2. 부품도 같은 개념으로 사용.,-
B/PRETENSIONER,BELT PRETENSIONER,벨트 조절 장치.,-
B/UP LP,BACK UP LAMP,후진 표시 램프.(MTM 사양에만 적용됨),-
B/UP LP SW,BACK UP LP SW,후진 표시 램프 스윗치. 변속기 레버를 후진에 놓으면 T/M 내부의 스윗치가 작동하여 차량 후미의 후진등이 켜지는 장치.,-
B/WAR'G BUZZER,BACK WARNING BUZZER,후진 경고 BUZZER. 후진 신호를 받으면 후미에 장애물과의 거리를 측정하여 운전자에게 경고.,-
B_FLUID_SNSR,BRAKE FLUID SENSOR,브레이크 액 감지기.,-
BAKE HARDEN,-,열이 가해지면 경화되어 필요 강도에 도달되는 성질. 시간이 지남에 따라 경화되어 신율이 떨어지는 시효성을 억제하는 성질을 말함klnk,-
BALANCE OUT MODEL,-,"MODEL CHANGE, FACE LIFT 등, 신 MODEL 생산으로 이미 중단된 MODEL을 말함.",-
BALLAST,-,HID LP 안에 있는 안정기. HEAD_LP가 LOW일때만 작동한다.,-
BAS,BRAKE ASSIST SYSTEM,긴급 제동 상황시 부스터의 배력비를 증가시켜 적은힘으로도 큰 제동력을 발생시켜 제동거리를 줄여주는 시스템,-
BATT,BATTERY,"배터리의 최대 목적은 STARTING에 있다. 차량의 시동이 꺼진 상태, ALT가 동작하기 전에 차량의 STARTING에 필요한 전원을 공급하는 장치. 시동을 끄고 IGN SW ON 위치나 ACC 위치에 놓았을때 WIPER, RADIO,HEATER 등의 각종 부품에 전원을 공급한다.",-
BATT CABLE,BATTERY CABLE,밧데리에서 와이어와 연결되는 선.,-
BATTERY SAVER,-,ENGINE OFF후 일정시간 경과시 자동으로 등화류의 전원 차단하여 실수로 인한 BATTERY 방전 방지.,-
BAU,Brake Actuation Unit,"브레이크 액츄에이션 유닛 (브레이크제어기). 브레이크 페달의 스트로크에 기초하여 운전자의 요구 제동량(Nm)을 계산하고, 이를 회생제동과 유압제동으로 분배",-
BAV,BREED AIR VALVE,고속시 공연비를 희박화시키는 밸브.,-
BB,BLACK BELT,"통계적 지식과 개선활동 또는 연구개발 추진 능력의 보유자이며, 문제해결 기법을 숙지한 전문가로서 프로젝트 수행, 지도, 6시그마 기법 적용확대 ,그린벨트 양성을 위해 활동하는 자",-
BBW,BRAKE BY WIRE,전자식 브레이크. 기존의 유압 대신 전기적 신호에의한 모터 작동으로 캘리퍼를 조작하여 제동력을 얻는 브레이크 시스템(신기술),-
BC,BEFORE CHRIST,서력 기원 전,-
BCA-R,Blind-Spot Collision-Avoidance Assist-Rear,후측방 충돌방지 보조-후방,-
BCA-S,Blind-Spot Collision-Avoidance Assist-Side,후측방 충돌방지 보조-측방,-
BCI,Battery Council International,국제 전지 평의회에서 정한 규격.,-
BCM,BODY CONTROL MODULE,각종 ECU가 따로 분리되어 있는 것을 하나의 ECU로 통합하여 차량 전체를 제어하는 시스템.,-
BCS,Battery Current Sensor,배터리 전류 센서.,-
BCU,Battery Control Unit,"배터리 컨트롤 유닛. 배터리 시스템의 열적, 전기적 기능을 제어 또는 관리하고 배터리 시스템과 다른 차량 제어기와의 사이에서 통신을 제공하는 전자장치",-
BCV,BOOST CONTROL VALVE,과급 제어 밸브. (연료),-
BCW,Blind-spot Collision Warning,후측방 충돌 경고. 차로 변경 시 후측방 차량과의 충돌 위험이 발생할 때 운전자에게 경고해주는 주행안전 시스템,-
BDC,Body Domain Controller,BCM+TPMS+SMK+IAU 통합 모듈,-
BDU,Battery Disconnected Unit,고전압 배터리로부터 각 유닛에 공급되는 전원을 공급하거나 차단,-
BEARING,-,베어링,-
BELL MOUTH,BELL MOUTH,배터리의 CABLE TERMINAL 끝단부 처리 방법.,-
BEQ,Battery EQualizer,배터리 이퀄라이저. 배터리에 동일한 전압이 유지되도록 제어,-
BES,Button Engine starting System,버튼 엔진 시동 시스템.,-
BEV,Battery Electric Vehicle,배터리식 전기자동차,-
BFA,Busbar Frame ASSY,버스바 프레임 어셈블리.,-
BFT,Battery Formation and Testing,배터리 활성화 테스터.,-
BFT,Battery Fuse Terminal,퓨즈와 터미널 조합 형태의 배터리 퓨즈 터미널.,-
BHDC,Bi-directional High voltage DC-DC converter,연료전지 시스템과 배터리 사이의 전력 제어 및 분배 장치,-
BHP,BRAKE HORSE-POWER,"제동 마력, 실마력, 정미 마력.",-
BIR,BALL IN RAMP,파킹 일체형 (리어) 캘리퍼 타입의 일종으로 파킹케이블 조작시 홈(Ramp)을 가진 판이 회전하고 볼이 홈의 기울기 만큼 반대편 판을 밀어내어 패드를 전진시키는 방식,-
BIS,BELT IN SEAT(벨트 내장형 시트),SEAT에 S/BELT를 내장하여 편의성과 충돌시 구속 성능을 향상 시킨 시스템.,-
BIW,Body In White,차체 골격. TRIM 하기 전의 차체 COMPLETE 상태의 CAB 또는 페인팅 직전의 차체.,-
BJ,BIRFIELD JOINT,BIRFIELD 사의 밸브형 등속 JOINT. 등속 조인트 휠측에 주로 장착 되는 조인트. 통상 6개의 볼과 케이지로 구성되며 절각이 큰 특징,-
BL,BILL OF LOADING,선하증권 (운송화물 수취중),-
BLACK FACE METER,-,계기판 내부 및 LENS를 검게 처리하여 계기 작동시 작동부만 조명되게 하는 방식.,-
BLDC,Brush-less Direct Current Motor,브러쉬가 없는 직류형 모터. 주로 엔진 냉각용으로 쓰인다,-
BLE,Bluetooth Low Energy,"저전력 블루투스. 동작 주기(duty cycle)가 수 밀리초(ms)로 가벼운 구동 방식을 따르며, 사용되지 않는 대부분 시간을 슬립 모드(sleep mode)에 있어 전력 소모가 매우 적음.",-
BLE,BLUTOOTH LOW ENERGY,"블루투스 저전력 프로토콜. 동작 주기(duty cycle)가 수 밀리초(ms)로 가벼운 구동 방식을 따르며, 사용되지 않는 대부분 시간을 슬립모드(절전모드)에 있어 전력 소모가 매우 적은 시스템.",-
BLIND MONITOR,-,"후진시 후방상황 또는 T자 도로에 진입시 좌우측의 상황을 차량 후방 또는 전,측방에 설치된 카메라을 이용 감지하여 실내 MONITOR에 DISPLAY.",-
Block Diagram,기능블록도,"분석되어야 할 시스템, 하위시스템 및 구성품의 정보, 에너지, 힘, 유체 등의 흐름을 나타낸 것으로서 논리적으로 블록에 넣는 것(input), 블록에서 실행되는 과정(기능)과 블록으로부터 나올 수 있는 것 (output)으로 표현된다.",-
BLOWER,-,강제로 각 AIR 토출구로 바람을 불어주기 위한 장치로서 BLOWER SWITCH로 그 양을 조절 가능.,-
BLWR ACTR,BLOWER ACTUATOR,블로어를 작동시키기 위한 엑추레이터,-
BLWR MTR,BLOWER MOTOR,송풍기 작동 MOTOR.,-
BLWR RLY,BLOWER RELAY,송풍기를 작동하기 위한 릴레이.,-
BLWR SW,BLOWER SWITCH,송풍기를 작동하기 위한 스윗치.HEATER의 SW로 HEATER MOTOR의 송풍 속도 조절.,-
BMA,Battery Module Assembly,친환경 자동차 배터리 팩을 구성하는 기본 모듈,-
BMC,BEST MEASUREMENT CAPABILITY,최고측정능력. 해당 분야의 교정항목에 대하여 국가교정기관이 최고수준의 측정장비를 사용하여 일상적으로 교정을 실시할 때 얻을 수 있는 최소의 불확도를 말함,-
BMC,BRAKE MASTER CYLINDER,브레이크 마스터 실린더.,-
BMS,BACK MONITORING SYSTEM,차량 후방에 카메라를 설치하여 I/P의 모니터에 표시함으로서 운전자의 후방 시야를 확보해 주는 시스템.,-
BMS,Battery Management System,"배터리 팩의 전압, 전류 및 온도를 모니터링하여 최적의 상태로 유지 관리하여, 배터리 교체시기 예측 및 배터리 문제를 사전에 발견하는 등 배터리 관리하는 중요한 역활을 수행",-
BMU,Battery Management Unit,"전기 자동차에 구비된 전장품에 전력을 공급하는 보조 배터리, 고압 배터리의 상태를 관리하는 배터리제어부.",-
BMW,BAYERISCHE MOTEREN WAKE,독일 자동차 회사.,-
BNC,Bayonet Neill Concelman,BNC 단자 혹은 BNC 커넥터. 동축 케이블에 사용되는 미니어처의 고속 연결과 연결 해제를 지원하는 RF 단자 혹은 커넥터.,-
BO,BACK ORDER,주문자의 주문에 대해 미 선적된 물량.,-
BO,BALANCE OUT,"금형 폐기로 인한 업체 생산 중단. 부품 및 완성차를 포함하여 ECO 출도시 신,구형간의 상호 호환성이 없을 경우 신형 부품 생산에 따를 구형 부품의 생산 중단시 구형 부품을 B/OUT라고 함. 그에 따른 작업 치구도 동일함.",-
BODY BUILDERS BOOK(차체 가장 요령서),-,사용차량에서 (특히 TRUCK) UPPER BODY를 장착할 수 있도록 CHASSIS CAB에 대한 상세한 DATA를 수록한 책.,-
BODY BUILDERS DRAWING(바디 빌더 드로잉),-,상용차종에서 UPPER BODY를 장착할 수 있도록 C/CAB의 주요 COMPONENT 위치 및 배열 등을 표시한 DRAWING,-
BOM,BILL OF MATERIAL,"설계로부터 발행되는 LPB 및 EO를 근거로 구성된 자료로서 부품의 적용 특성, 구성정보 및 소요수량등이 UPG단위로 정리된 것.",-
BONNET TYPE CAR,BONNET TYPE CAR,일반 승용차와 같이 HOOD 안에 ENGINE ROOM이 전부 구성되어진 차량,-
BOTTLE COOLER,BOTTLE COOLER(REFRIGERATOR),버스 장착용으로 식품의 저온 저장을 목적으로 하는 장치.,-
BP SNSR,BOOST PRESSURE SENSOR,차저 엔진의 흡기 압력을 과급압 감지 센서,-
BPA,Battery Package Assembly,BMA 모듈화 부품,-
BPCM,Body/Battery Power Converter Module,바디/배터리 전력 변환 모듈.,-
BPCU,Blower Pump Control Unit,블로어/펌프용 인버터. 수소 재순환 블로어 및 워터펌프 제어 조절,-
BPD,BETWEEN PIN DIA,스플라인을 측정하는 치수로 180˚로 마주보는 스플라인 홈에 지름이 일정한 PIN을 삽입하여 핀과핀의 내경을 측정한값,-
BPR,BODY PANEL REINFORCEMENT,외판의 내 DENT성 향상을 위하여 액상 PAD를 철판에 분무식으로 바른 후 굳어지는 pad 제품,-
BPS,Barometric Pressure Sensor,"대기압 센서(검출 장치). 일반적으로 AFS(Air Flow Sensor)에 포함되어 있는 기능이지만 LX-CAR, M-CAR등은 분리되어 대기압을 검출하는 감지 장치. 압전 효과를 이용하여 저항의 변화를 검출하여 ECU로 전송하면 차의 고도를 계산하여 연료 분사량 및 점화시기를 조정.",-
BPS,Boost Pressure Sensor,"흡기 센서. 흡기 매니폴드 어셈블리 상단에 장착되어 있으며, 터보차저에서 과급된 흡입 공기의 압력을 측정하는 역할.",-
BPS,Brake Pedal Module,-,-
BPV,BLEND PROPORTIONING VALVE,2단계 PCV 제어 밸브.,-
BRAKE OIL LVL SENSOR,-,브레이크 오일의 양을 감지하는 센서,-
BRAKE RESISTOR,BRAKE RESISTOR,"보조 냉각장치를 구비한 연료전지 차량용 브레이킹 레지스터로 모터는 회전수/발전량에 따라 역토크가 발생하여 보조 제동장치로 사용할 수 있으며, 모터에서 발전된 전기를 브레이킹 레지스터로 흘려줌으로써 전기를 열에너지로 변환시켜 연속적으로 전기를 소모하고 이에 모터가 연속적인 제동력을 발생시키도록 함. (브레이킹 레지스터의 전기저항은 전기를 소모하여 열에너지를 발생시키므로, 브레이킹 레지스터를 냉각시키기 위한 냉각장치가 반드시 필요함.)",-
BRK,BRAKE,브레이크,-
BRK F/LVL SW,BRAKE FLUID LEVEL SWITCH,브레이크 액 LEVEL 점검 스윗치.,-
BRK F/SNDR,BRAKE FLUID SENDER,브레이크 액 송유기.,-
BRK FLUID,BRAKE FLUID,브레이크 액.,-
BRK OIL LEVEL,BRAKE OIL LEVEL,브레이크 오일량 표시기.,-
BRKT,BRACKET,브라켓.,-
BS ANTENNA,-,위성 수신 안테나,-
BSA,Battery System Assembly,"배터리 시스템. 고전압 전기에너지를 저장하고, 자동차 전장부품에 전기에너지를 공급함",-
BSC,BALANCED SCORE CARD,조직의 사명과 전략을 측정하고 관리할 수 있도록 포괄적인 측정지표로 바꾸어주는 틀이다.,-
